,x,y,start time,end time,image_index,image_x,image_y,blur
196,1460.3,1004.0,245723,245799,36,572.3,516.0,0.0
197,1381.9,1026.1,245819,246359,36,1381.9,1026.1,0.0
198,1468.0,1037.1,246383,246783,37,580.0,549.0999999999999,16.99347816906338
199,1516.1,557.8,247115,247231,37,628.0999999999999,69.79999999999995,16.99347816906338
200,1422.7,1054.6,247323,247579,37,534.7,566.5999999999999,16.99347816906338
201,1325.8,1038.6,247603,247971,37,437.79999999999995,550.5999999999999,16.99347816906338
202,1472.9,1022.0,247999,248463,37,584.9000000000001,534.0,16.99347816906338
203,1378.5,1020.9,248487,248819,37,490.5,532.9,16.99347816906338
204,1431.6,1027.9,248839,249363,37,543.5999999999999,539.9000000000001,16.99347816906338
205,1465.4,563.9,249699,249819,37,577.4000000000001,75.89999999999998,16.99347816906338
206,1348.0,1087.5,249891,250087,37,1348.0,1087.5,16.99347816906338
207,1381.6,1161.8,250103,250491,38,493.5999999999999,673.8,12.52424290189035
208,1318.8,1082.2,250515,250863,38,430.79999999999995,594.2,12.52424290189035
209,1399.9,1151.9,250887,251047,38,511.9000000000001,663.9000000000001,12.52424290189035
210,1471.9,741.2,251727,251915,38,583.9000000000001,253.20000000000005,12.52424290189035
211,1275.6,1171.9,252039,252255,38,387.5999999999999,683.9000000000001,12.52424290189035
212,1360.3,1108.8,252279,252591,38,472.29999999999995,620.8,12.52424290189035
213,1460.9,1048.5,252615,252851,38,572.9000000000001,560.5,12.52424290189035
214,1357.5,1018.3,252879,253143,38,469.5,530.3,12.52424290189035
215,1282.3,993.3,253167,253439,38,394.29999999999995,505.29999999999995,12.52424290189035
216,1476.7,547.9,253871,254059,38,588.7,59.89999999999998,12.52424290189035
217,1487.7,496.3,254087,254147,38,599.7,8.300000000000011,12.52424290189035
218,1402.4,1027.1,254219,254279,38,1402.4,1027.1,12.52424290189035
219,1344.0,1026.3,254303,254627,39,456.0,538.3,4.139392566537814
220,1504.8,1028.8,254659,255167,39,616.8,540.8,4.139392566537814
221,1787.0,657.7,255207,255227,39,899.0,169.70000000000005,4.139392566537814
222,1828.3,703.1,255763,255815,39,940.3,215.10000000000002,4.139392566537814
223,1684.4,624.8,255839,255943,39,796.4000000000001,136.79999999999995,4.139392566537814
224,1871.8,783.6,255995,256027,39,983.8,295.6,4.139392566537814
225,1429.0,1298.1,256155,256655,39,541.0,810.0999999999999,4.139392566537814
226,1489.6,513.6,257011,257187,39,601.5999999999999,25.600000000000023,4.139392566537814
227,1344.7,1099.6,257255,257515,39,456.70000000000005,611.5999999999999,4.139392566537814
228,1526.1,1046.5,257563,257803,39,638.0999999999999,558.5,4.139392566537814
229,1438.2,1044.4,257831,258359,39,550.2,556.4000000000001,4.139392566537814
230,1661.2,1028.7,258407,258675,40,773.2,540.7,16.920054435595556
231,1453.5,1026.4,258703,258907,40,565.5,538.4000000000001,16.920054435595556
232,1320.3,1047.6,258935,259447,40,432.29999999999995,559.5999999999999,16.920054435595556
233,1748.2,591.8,259495,259535,40,860.2,103.79999999999995,16.920054435595556
234,1638.6,927.2,259771,259935,40,750.5999999999999,439.20000000000005,16.920054435595556
235,1491.8,884.2,259959,260111,40,603.8,396.20000000000005,16.920054435595556
236,1564.1,730.0,260463,260495,40,676.0999999999999,242.0,16.920054435595556
237,1536.1,603.0,260519,260671,40,648.0999999999999,115.0,16.920054435595556
238,1533.5,532.7,260699,260723,40,645.5,44.700000000000045,16.920054435595556
239,1727.0,714.8,260787,260823,40,839.0,226.79999999999995,16.920054435595556
240,1391.9,1096.1,260871,261179,40,503.9000000000001,608.0999999999999,16.920054435595556
241,1364.9,1074.9,261199,261759,40,476.9000000000001,586.9000000000001,16.920054435595556
242,1169.8,1000.4,261803,262327,40,281.79999999999995,512.4,16.920054435595556
243,1545.0,583.7,262979,263035,41,657.0,95.70000000000005,5.953444410158846
244,1783.6,669.6,263239,263279,41,895.5999999999999,181.60000000000002,5.953444410158846
245,1455.3,1061.7,263315,263435,41,567.3,573.7,5.953444410158846
246,1400.2,1058.2,263455,263707,41,512.2,570.2,5.953444410158846
247,1333.8,1037.5,263727,263991,41,445.79999999999995,549.5,5.953444410158846
248,1426.6,1001.8,264015,264243,41,538.5999999999999,513.8,5.953444410158846
249,1369.1,1018.8,264263,264419,41,481.0999999999999,530.8,5.953444410158846
250,1479.6,994.3,264447,264747,41,591.5999999999999,506.29999999999995,5.953444410158846
251,1572.0,538.5,265083,265195,41,684.0,50.5,5.953444410158846
252,1726.0,659.5,265351,265403,41,838.0,171.5,5.953444410158846
253,1506.3,1003.2,265479,265523,41,618.3,515.2,5.953444410158846
254,1513.8,998.4,265563,265591,41,625.8,510.4,5.953444410158846
255,1320.2,1084.2,265639,265927,41,432.20000000000005,596.2,5.953444410158846
256,1409.8,1130.6,265955,266231,41,521.8,642.5999999999999,5.953444410158846
257,1459.8,1166.8,266247,266487,41,571.8,678.8,5.953444410158846
258,1393.8,1080.6,266511,266743,41,1393.8,1080.6,5.953444410158846
259,1413.5,1078.3,266767,267439,42,525.5,590.3,15.537577293451974
260,1351.4,1089.8,267451,267747,42,463.4000000000001,601.8,15.537577293451974
261,1446.5,1073.0,267771,267975,42,558.5,585.0,15.537577293451974
262,1356.8,951.8,268003,268279,42,468.79999999999995,463.79999999999995,15.537577293451974
263,1635.2,1099.2,268343,268495,42,747.2,611.2,15.537577293451974
264,1444.3,1139.1,268519,268891,42,556.3,651.0999999999999,15.537577293451974
265,1546.5,1167.5,268915,268983,42,658.5,679.5,15.537577293451974
266,1310.6,1106.1,270019,270043,42,422.5999999999999,618.0999999999999,15.537577293451974
267,1437.7,1089.9,270067,270095,42,549.7,601.9000000000001,15.537577293451974
268,1760.1,655.9,270627,270691,42,872.0999999999999,167.89999999999998,15.537577293451974
269,1846.6,683.9,271439,271459,42,958.5999999999999,195.89999999999998,15.537577293451974
270,1426.2,1106.8,271491,271559,42,538.2,618.8,15.537577293451974
271,1277.8,1075.1,271587,272023,42,389.79999999999995,587.0999999999999,15.537577293451974
272,1480.5,1031.7,272055,272987,42,1480.5,1031.7,15.537577293451974
273,1383.3,998.5,273015,273735,43,1383.3,998.5,0.0
274,1481.4,983.8,273759,274779,44,1481.4,983.8,0.0
275,1396.0,1042.7,274803,275091,45,1396.0,1042.7,0.0
276,1452.5,1048.1,275111,275667,46,564.5,560.0999999999999,0.0
277,1520.2,1029.6,275691,276399,46,1520.2,1029.6,0.0
278,1391.1,1056.9,276587,277795,47,1391.1,1056.9,0.0
279,1775.4,781.2,278347,278371,48,887.4000000000001,293.20000000000005,0.0
280,1535.5,1161.4,278403,278483,48,647.5,673.4000000000001,0.0
281,1313.0,1161.8,278507,279207,48,1313.0,1161.8,0.0
282,1718.0,610.3,280175,280199,49,830.0,122.29999999999995,18.569129857659554
283,1423.6,1043.2,280367,280651,49,535.5999999999999,555.2,18.569129857659554
284,1359.6,1043.8,280667,280891,49,471.5999999999999,555.8,18.569129857659554
285,1438.3,1027.8,280915,281311,49,550.3,539.8,18.569129857659554
286,1521.8,1017.6,281339,281479,49,633.8,529.6,18.569129857659554
287,1414.8,991.8,281507,281871,49,526.8,503.79999999999995,18.569129857659554
288,1538.1,577.0,282315,282447,49,650.0999999999999,89.0,18.569129857659554
289,1388.4,988.1,282571,282731,49,500.4000000000001,500.1,18.569129857659554
290,1505.7,981.3,282755,283143,49,1505.7,981.3,18.569129857659554
291,1406.2,980.2,283175,283335,50,518.2,492.20000000000005,5.3221072307861235
292,1605.7,663.8,283443,283483,50,717.7,175.79999999999995,5.3221072307861235
293,1595.9,654.6,283639,283679,50,707.9000000000001,166.60000000000002,5.3221072307861235
294,1354.7,962.1,283867,283939,50,466.70000000000005,474.1,5.3221072307861235
