,duration,start time,end time,start x,end x,start y,end y,size,distance,speed,image_index,blur
176,12,234575,234587,1313.3,1373.4,1143.6,1184.0,72.4166417337895,72.4166417337895,6.034720144482459,30,4.525336884769063
177,8,234819,234827,1375.4,1355.4,1239.6,1270.3,36.64000545851491,36.64000545851491,4.580000682314364,30,4.525336884769063
178,744,235071,235815,1330.5,2840.4,1305.5,1908.6,1625.8928685494627,1625.8928685494627,2.1853398770826113,30,4.525336884769063
179,12,235995,236007,1387.0,1426.8,1163.6,1134.0,49.60040322416735,49.60040322416735,4.133366935347279,30,4.525336884769063
180,8,236187,236195,1434.1,1449.4,1104.6,1086.1,24.007082288358276,24.007082288358276,3.0008852860447846,30,4.525336884769063
181,512,236519,237031,1470.0,1332.3,1075.1,982.3,166.05158836939805,166.05158836939805,0.32431950853398056,30,4.525336884769063
182,24,238599,238623,1358.8,1514.5,1036.7,1029.3,155.8757518025174,155.8757518025174,6.494822991771559,31,0.0
183,20,239279,239299,1491.7,1405.4,1025.7,991.2,92.94051861271268,92.94051861271268,4.647025930635634,32,0.0
184,8,239651,239659,1416.2,1440.4,1004.9,999.8,24.731558786295746,24.731558786295746,3.0914448482869683,32,0.0
185,20,239871,239891,1440.2,1540.5,1004.6,990.5,101.28622808654686,101.28622808654686,5.064311404327343,32,0.0
186,36,240239,240275,1521.7,1651.1,1043.2,459.6,597.773636086437,597.773636086437,16.60482322462325,32,0.0
187,24,240331,240355,1667.0,1531.9,417.3,403.0,135.85470179570518,135.85470179570518,5.660612574821049,32,0.0
188,36,240695,240731,1450.5,1318.6,427.8,977.4,565.2059536133709,565.2059536133709,15.70016537814919,32,0.0
189,20,241215,241235,1313.0,1460.4,1085.5,1068.9,148.3317902541462,148.3317902541462,7.41658951270731,33,0.0
190,16,241959,241975,1419.9,1353.8,1054.7,1038.9,67.96212180325168,67.96212180325168,4.24763261270323,34,0.0
191,20,242575,242595,1316.9,1447.6,1043.0,1040.8,130.71851437344273,130.71851437344273,6.535925718672137,34,0.0
192,20,243147,243167,1470.1,1365.0,1046.2,1046.6,105.10076117707226,105.10076117707226,5.2550380588536125,34,0.0
193,16,243799,243815,1331.1,1450.7,1038.0,1034.9,119.64016883973389,119.64016883973389,7.477510552483368,35,0.0
194,16,244471,244487,1459.4,1359.0,1026.7,992.5,106.06507436475034,106.06507436475034,6.6290671477968965,36,0.0
195,704,245015,245719,1353.4,1460.4,1052.3,966.2,137.3397611764342,137.3397611764342,0.19508488803470767,36,0.0
196,12,245803,245815,1446.6,1404.8,1015.1,981.4,53.69292318360027,53.69292318360027,4.474410265300023,36,0.0
197,16,246363,246379,1389.0,1497.9,1040.5,1052.2,109.52670907134944,109.52670907134944,6.84541931695934,37,16.99347816906338
198,324,246787,247111,1464.0,1563.0,1038.4,695.4,357.0014005574769,357.0014005574769,1.1018561745601139,37,16.99347816906338
199,84,247235,247319,1502.5,1422.3,498.9,993.6,501.1587872121969,501.1587872121969,5.966176038240439,37,16.99347816906338
200,16,247583,247599,1418.4,1324.3,1070.9,1044.5,97.73315711671259,97.73315711671259,6.108322319794537,37,16.99347816906338
201,20,247975,247995,1326.5,1497.2,1032.6,1035.3,170.72135191592182,170.72135191592182,8.53606759579609,37,16.99347816906338
202,16,248467,248483,1458.4,1370.1,1016.9,1009.5,88.6095367327921,88.6095367327921,5.538096045799506,37,16.99347816906338
203,12,248823,248835,1394.0,1449.2,1033.9,1036.7,55.27096887155141,55.27096887155141,4.605914072629284,37,16.99347816906338
204,328,249367,249695,1428.7,1498.4,1040.2,667.1,379.55460740188624,379.55460740188624,1.1571786811033118,37,16.99347816906338
205,64,249823,249887,1455.8,1361.3,510.1,993.5,492.5503121509517,492.5503121509517,7.69609862735862,37,16.99347816906338
206,8,250091,250099,1345.0,1370.6,1140.7,1160.4,32.30247668523262,32.30247668523262,4.037809585654077,38,12.52424290189035
207,16,250495,250511,1387.5,1309.4,1142.6,1102.4,87.83877276009707,87.83877276009707,5.489923297506067,38,12.52424290189035
208,16,250867,250883,1332.6,1424.8,1076.1,1146.3,115.88304448882941,115.88304448882941,7.242690280551838,38,12.52424290189035
209,672,251051,251723,1399.4,1508.3,1165.7,930.8,258.91546883104536,258.91546883104536,0.38529087623667463,38,12.52424290189035
