,start time,path,location,size,end time,blur
43,272380,avatar-23454cb588feedf48732df1cfb0c9abe.jpg,"(1400, 1000)","(1024, 1024)",273212,0.0
44,273212,avatar-517354d766fb95d672c68f953447948c.jpg,"(1400, 1000)","(1024, 1024)",274279,0.0
45,274279,avatar-af4b9c59ccd5201d9b8bc5bfc7e8623a.jpg,"(1400, 1000)","(1024, 1024)",275062,0.0
46,275062,avatar-1f056296b84d1b4326305182b965e919.jpg,"(1400, 1000)","(1024, 1024)",275946,0.0
47,275946,avatar-048f4e6e93d8ea11aa5d923803945c17.jpg,"(1400, 1000)","(1024, 1024)",276729,0.0
48,276729,avatar-0d4fa0800ff9f862c3f7fcdf5fc11ddb.jpg,"(1400, 1000)","(1024, 1024)",278647,0.0
49,278647,avatar-467e5b60774741ec854cf9af27906701_18.569129857659554.jpg,"(1400, 1000)","(1024, 1024)",282796,18.569129857659554
50,282796,avatar-ad143c00c3eaf10796762a641e8013b3_5.3221072307861235.jpg,"(1400, 1000)","(1024, 1024)",286946,5.3221072307861235
51,286946,avatar-f4dcb97dcc7a5ca6ad433591057bb317_11.790427943648407.jpg,"(1400, 1000)","(1024, 1024)",291096,11.790427943648407
52,291096,avatar-703a7e3ec6643f5f7f534de56bbe4846_5.295375898975827.jpg,"(1400, 1000)","(1024, 1024)",295246,5.295375898975827
53,295246,avatar-be84f0351f5887a3956857719baa79a1_14.804152316177676.jpg,"(1400, 1000)","(1024, 1024)",299396,14.804152316177676
54,299396,avatar-49a73077823bd8bfc9441592870a2641_11.570672775009886.jpg,"(1400, 1000)","(1024, 1024)",305098,11.570672775009886
55,305098,avatar-0070e199d5f1c843cbc9379f45a25e6a.jpg,"(1400, 1000)","(1024, 1024)",306380,0.0
56,306380,avatar-467e5b60774741ec854cf9af27906701.jpg,"(1400, 1000)","(1024, 1024)",307279,0.0
57,307279,avatar-49a73077823bd8bfc9441592870a2641.jpg,"(1400, 1000)","(1024, 1024)",307946,0.0
58,307946,avatar-ad143c00c3eaf10796762a641e8013b3.jpg,"(1400, 1000)","(1024, 1024)",308846,0.0
59,308846,avatar-a95cd50642d81df1a77a1d4823b6036d.jpg,"(1400, 1000)","(1024, 1024)",309879,0.0
60,309879,avatar-3aae00968a1eb60fbb899cbe7a9e4a6b.jpg,"(1400, 1000)","(1024, 1024)",311681,0.0
61,311681,avatar-4e633431f19399948e42b69b3b954cc2_13.204859782864117.jpg,"(1400, 1000)","(1024, 1024)",315829,13.204859782864117
62,315829,avatar-1f7fb783788106a5b041b710b5e6bd0c_12.458686681295678.jpg,"(1400, 1000)","(1024, 1024)",319979,12.458686681295678
63,319979,avatar-e4dd2fb6bc84b7b5cfa26c81eb65fc08_14.433575796641481.jpg,"(1400, 1000)","(1024, 1024)",324130,14.433575796641481
64,324130,avatar-0fe56012bb5f8aa6a183e8325293e17f_12.860320372353108.jpg,"(1400, 1000)","(1024, 1024)",328296,12.860320372353108
65,328296,avatar-eafff68cee0b79475662c91557ffceca_14.744323901618879.jpg,"(1400, 1000)","(1024, 1024)",332447,14.744323901618879
66,332447,avatar-17abf79be2f22eb8f143c85a81cd0a04_6.089800287858365.jpg,"(1400, 1000)","(1024, 1024)",338148,6.089800287858365
67,338148,avatar-a55f1b69efa0b497edcb05ca3994f6da.jpg,"(1400, 1000)","(1024, 1024)",339479,0.0
68,339479,avatar-eaf1a327def20cbe4c0a25a97cf4e406.jpg,"(1400, 1000)","(1024, 1024)",340313,0.0
69,340313,avatar-0fe56012bb5f8aa6a183e8325293e17f.jpg,"(1400, 1000)","(1024, 1024)",341179,0.0
70,341179,avatar-1f7fb783788106a5b041b710b5e6bd0c.jpg,"(1400, 1000)","(1024, 1024)",342363,0.0
71,342363,avatar-6589f267bbf5629f83c0b132ea54f1c2.jpg,"(1400, 1000)","(1024, 1024)",343563,0.0
72,343563,avatar-eafff68cee0b79475662c91557ffceca.jpg,"(1400, 1000)","(1024, 1024)",345381,0.0
73,345381,avatar-be74e50bbbcd5660518167bccaccb573_18.69676291065202.jpg,"(1400, 1000)","(1024, 1024)",349530,18.69676291065202
74,349530,avatar-f0ceb74ab510fde705129ecd22aad486_7.618256171625237.jpg,"(1400, 1000)","(1024, 1024)",353680,7.618256171625237
75,353680,avatar-f40a06d5fa452c4e42827bce0ed1bfa3_6.792990246104564.jpg,"(1400, 1000)","(1024, 1024)",357830,6.792990246104564
76,357830,avatar-b5be29db8e0bf62e185b4cb948e25dc8_17.37875606602315.jpg,"(1400, 1000)","(1024, 1024)",361997,17.37875606602315
77,361997,avatar-d46efa6ff4cb921873daa7d0c0e2cfda_4.472416714022868.jpg,"(1400, 1000)","(1024, 1024)",366147,4.472416714022868
78,366147,avatar-4b737009fa0f6d31f9de147bfee6fc86_1.7171230832246742.jpg,"(1400, 1000)","(1024, 1024)",371831,1.7171230832246742
79,371831,avatar-f0ceb74ab510fde705129ecd22aad486.jpg,"(1400, 1000)","(1024, 1024)",372914,0.0
80,372914,avatar-d46efa6ff4cb921873daa7d0c0e2cfda.jpg,"(1400, 1000)","(1024, 1024)",374163,0.0
81,374163,avatar-672cd26e9f0f8f5b80ea763c6a2ac7f3.jpg,"(1400, 1000)","(1024, 1024)",375264,0.0
82,375264,avatar-f40a06d5fa452c4e42827bce0ed1bfa3.jpg,"(1400, 1000)","(1024, 1024)",376230,0.0
83,376230,avatar-fbdec7a2b3e6fbf1096dd21206fbddb7.jpg,"(1400, 1000)","(1024, 1024)",377064,0.0
84,377064,avatar-ccad3c5c84a486054abe8929187d06a9.jpg,"(1400, 1000)","(1024, 1024)",379132,0.0
85,379132,avatar-802cf7287ef3385cb4fdd19d1cc65dc6_9.582736108065635.jpg,"(1400, 1000)","(1024, 1024)",383280,9.582736108065635
86,383280,avatar-99f43f1bb139e2a8b7b4c9415f3ff10d_9.196718272180078.jpg,"(1400, 1000)","(1024, 1024)",387447,9.196718272180078
87,387447,avatar-111362c71f4b8618792b3d3f075e7c11_14.790246847421368.jpg,"(1400, 1000)","(1024, 1024)",391613,14.790246847421368
88,391613,avatar-91d69a01df119f92b9d3a2205d3fdfc2_0.43023702408160114.jpg,"(1400, 1000)","(1024, 1024)",395763,0.43023702408160114
89,395763,avatar-f1fa615309ffb990ebf972428d15265b_17.374900455004536.jpg,"(1400, 1000)","(1024, 1024)",399913,17.374900455004536
90,399913,avatar-1bc20b3662c66129fca5ce7c87e3f79f_18.337670411710974.jpg,"(1400, 1000)","(1024, 1024)",405582,18.337670411710974
91,405582,avatar-802cf7287ef3385cb4fdd19d1cc65dc6.jpg,"(1400, 1000)","(1024, 1024)",406397,0.0
92,406397,avatar-c59c6b437787124079b68db5167d5a93.jpg,"(1400, 1000)","(1024, 1024)",407164,0.0
93,407164,avatar-95f11e8ee08e1e0f8db804026e88ce94.jpg,"(1400, 1000)","(1024, 1024)",408047,0.0
94,408047,avatar-342e3fe543bccf5b0acfb0dc644eba16.jpg,"(1400, 1000)","(1024, 1024)",408930,0.0
95,408930,avatar-91d69a01df119f92b9d3a2205d3fdfc2.jpg,"(1400, 1000)","(1024, 1024)",409797,0.0
96,409797,avatar-1bc20b3662c66129fca5ce7c87e3f79f.jpg,"(1400, 1000)","(1024, 1024)",411815,0.0
97,411815,avatar-11653d04bf1ffd0a9f548332cea40a02_0.8707744300623976.jpg,"(1400, 1000)","(1024, 1024)",415963,0.8707744300623976
98,415963,avatar-328eb5fd4afc7095dcea949b4989eed5_1.861219429897556.jpg,"(1400, 1000)","(1024, 1024)",420113,1.861219429897556
99,420113,avatar-5f2d7e703d8749b65616bf112c0ef22a_14.59839571259564.jpg,"(1400, 1000)","(1024, 1024)",424264,14.59839571259564
100,424264,avatar-c1833ebd28638912bed6cf7592e78a57_3.9515790741401147.jpg,"(1400, 1000)","(1024, 1024)",428414,3.9515790741401147
101,428414,avatar-668dd0b3be50f968e6227487b94b24d3_4.436055454994776.jpg,"(1400, 1000)","(1024, 1024)",432564,4.436055454994776
102,432564,avatar-def70a054f2f7ef34a141e993a8c0671_2.4199404711226613.jpg,"(1400, 1000)","(1024, 1024)",438265,2.4199404711226613
103,438265,avatar-24ff41ecc169074e80727bc7a0808b85.jpg,"(1400, 1000)","(1024, 1024)",439364,0.0
104,439364,avatar-11653d04bf1ffd0a9f548332cea40a02.jpg,"(1400, 1000)","(1024, 1024)",440314,0.0
105,440314,avatar-94b3f0f69503fe86c5894327d6e399bc.jpg,"(1400, 1000)","(1024, 1024)",441380,0.0
106,441380,avatar-328eb5fd4afc7095dcea949b4989eed5.jpg,"(1400, 1000)","(1024, 1024)",443331,0.0
107,443331,avatar-def70a054f2f7ef34a141e993a8c0671.jpg,"(1400, 1000)","(1024, 1024)",444214,0.0
108,444214,avatar-71a6467f2dcb3eea8e414f090f69451d.jpg,"(1400, 1000)","(1024, 1024)",446549,0.0
109,446549,avatar-b01b6ddd6bb45e2bd1984ee08c0d8ef3_8.280892510347586.jpg,"(1400, 1000)","(1024, 1024)",450697,8.280892510347586
110,450697,avatar-f73f4873fc078ee40d32c61855f91e24_0.9748940599689071.jpg,"(1400, 1000)","(1024, 1024)",454847,0.9748940599689071
111,454847,avatar-6761eda8f6e50596941a4b380103b5eb_18.634666618828927.jpg,"(1400, 1000)","(1024, 1024)",458997,18.634666618828927
112,458997,avatar-57eefd2a59ea152f9cbb0e60c31c172f_9.343929625074116.jpg,"(1400, 1000)","(1024, 1024)",463164,9.343929625074116
